Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
AVLP_pr01_L1,AVLP_pr01,AVLP_pr01-1_R1,AVLP_pr01-1,[179038  42950   3033],720575940619783518,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_L2,AVLP_pr01,AVLP_pr01-1_R2,AVLP_pr01-1,[180636  42124   3173],720575940620062633,CB1614,GABA,GABA,GABA,,,,
AVLP_pr01_L3,AVLP_pr01,AVLP_pr01-1_R3,AVLP_pr01-1,[183717  37839   3271],720575940602914988,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_L5,AVLP_pr01,AVLP_pr01-1_R4,AVLP_pr01-1,[179273  44576   3243],720575940620195719,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_L6,AVLP_pr01,AVLP_pr01-1_R5,AVLP_pr01-1,[178914  43768   3080],720575940634508174,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_R1,AVLP_pr01,AVLP_pr01-1_L1,AVLP_pr01-1,[81848 36425  3922],720575940628489516,CB1614,GABA,GABA,GABA,,,,
AVLP_pr01_R2,AVLP_pr01,AVLP_pr01-1_L2,AVLP_pr01-1,[81211 38564  4039],720575940622065432,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_R3,AVLP_pr01,AVLP_pr01-1_L3,AVLP_pr01-1,[80552 38772  4013],720575940631425965,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_R6,AVLP_pr01,AVLP_pr01-1_L4,AVLP_pr01-1,[81027 37782  4056],720575940623987982,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_R8,AVLP_pr01,AVLP_pr01-1_L5,AVLP_pr01-1,[90887 42091  3609],720575940629283659,CB2364,GABA,GABA,GABA,,,,
AVLP_pr01_L4,AVLP_pr01,AVLP_pr01-2_R1,AVLP_pr01-2,[179652  40717   2989],720575940630353682,CB2114,GABA,GABA,GABA,,,,
AVLP_pr01_L7,AVLP_pr01,AVLP_pr01-2_R2,AVLP_pr01-2,[179301  44930   3405],720575940627642818,CB2114,GABA,GABA,GABA,,,,
AVLP_pr01_L8,AVLP_pr01,AVLP_pr01-2_R3,AVLP_pr01-2,[178177  44482   3086],720575940609014370,AVLP006b,GABA,GABA,GABA,,,,
