Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
IPS_pr01_L5,IPS_pr01,IPS_pr01-1_R4,IPS_pr01-1,[163118  67041    814],720575940624015459,WEDPN1A,GABA,GABA,GABA,,,,
put_IPS_pr01_L1,put_IPS_pr01,IPS_pr01-1_R5,IPS_pr01-1,,720575940629851496,WEDPN1A,GABA,GABA,GABA,,,,
IPS_pr01_R1,IPS_pr01,IPS_pr01-1_L1,IPS_pr01-1,[96584 73695  2836],720575940627632428,WEDPN1A,GABA,GABA,GABA,,,,
IPS_pr01_R3,IPS_pr01,IPS_pr01-1_L2,IPS_pr01-1,[97416 73359  2786],720575940617575760,WEDPN1A,GABA,GABA,GABA,,,,
IPS_pr01_R4,IPS_pr01,IPS_pr01-1_L3,IPS_pr01-1,[94803 72784  2821],720575940618292416,WEDPN1A,GABA,GABA,GABA,,,,
put_IPS_pr01_L2,put_IPS_pr01,IPS_pr01-2_R1,IPS_pr01-2,,720575940629316152,WEDPN1B,GABA,GABA,GABA,,,,
,put_IPS_pr01,IPS_pr01-2_R2,IPS_pr01-2,,720575940624763678,WED025,GABA,GABA,GABA,,,,
,put_IPS_pr01,IPS_pr01-2_R3,IPS_pr01-2,,720575940610678226,WED025,GABA,GABA,GABA,,,,
IPS_pr01_R2,IPS_pr01,IPS_pr01-2_L1,IPS_pr01-2,[94430 73484  2777],720575940609630357,WED025,GABA,GABA,GABA,,,,
,put_IPS_pr01,IPS_pr01-2_L2,IPS_pr01-2,,720575940619925887,WEDPN1B,GABA,GABA,GABA,,,,
,put_IPS_pr01,IPS_pr01-2_L3,IPS_pr01-2,,720575940624732260,WED025,GABA,GABA,GABA,,,,
,put_IPS_pr01,IPS_pr01-2_L4,IPS_pr01-2,,720575940621983757,WED025,GABA,GABA,GABA,,,,
,put_AVLP_pr11,AVLP_pr11_R,AVLP_pr11,,720575940614079715,CB2660,Ach,Ach,Ach,,,,
AVLP_pr11_R1,AVLP_pr11,AVLP_pr11_L1,AVLP_pr11,[85460 52431  2387],720575940616783833,CB2660,Ach,Ach,Ach,,,,
,put_AVLP_pr11,AVLP_pr11_L2,AVLP_pr11,,720575940610504750,CB2660,Ach,Ach,Ach,,,,
,put_WED_pr02,WED_pr02_R1,WED_pr02,,720575940621835246,CB3245,GABA,GABA,GABA,,,,
WED_pr02_L2,WED_pr02,WED_pr02_R2,WED_pr02,[162892  80708   2540],720575940625887631,CB3491,GABA,GABA,GABA,,,,
,put_WED_pr02,WED_pr02_R3,WED_pr02,,720575940616121408,CB3245,GABA,GABA,GABA,,,,
,put_WED_pr02,WED_pr02_R4,WED_pr02,,720575940611674265,CB3245,GABA,GABA,GABA,,,,
WED_pr02_L5,WED_pr02,WED_pr02_R5,WED_pr02,[163316  80087   2686],720575940616211013,CB3491,GABA,GABA,GABA,,,,
WED_pr02_L6,WED_pr02,WED_pr02_R6,WED_pr02,[161996  80024   2694],720575940615930299,CB3491,GABA,GABA,GABA,,,,
,put_WED_pr02,WED_pr02_R7,WED_pr02,,720575940621540586,SAD021_a,GABA,GABA,GABA,,,,
,put_WED_pr02,WED_pr02_R8,WED_pr02,,720575940640507763,SAD021_a,GABA,GABA,GABA,,,,
,put_WED_pr02,WED_pr02_R9,WED_pr02,,720575940620581748,SAD021_a,GABA,GABA,GABA,,,,
put_WED_pr02_L4,put_WED_pr02,WED_pr02_R10,WED_pr02,,720575940605308082,SAD021_c,GABA,GABA,GABA,,,,
put_WED_pr02_L5,put_WED_pr02,WED_pr02_R11,WED_pr02,,720575940606743170,SAD021_c,GABA,GABA,GABA,,,,
WED_pr02_R1,WED_pr02,WED_pr02_L1,WED_pr02,[99243 75049  3127],720575940632998136,CB3491,GABA,GABA,GABA,,,,
put_WED_pr02_R7,put_WED_pr02,WED_pr02_L2,WED_pr02,,720575940634299071,CB3245,GABA,GABA,GABA,,,,
WED_pr02_R3,WED_pr02,WED_pr02_L3,WED_pr02,[93932 75671  3321],720575940637410394,CB3245,GABA,GABA,GABA,,,,
put_WED_pr02_R2,put_WED_pr02,WED_pr02_L4,WED_pr02,,720575940635981742,SAD021_a,GABA,GABA,GABA,,,,
WED_pr02_R5,WED_pr02,WED_pr02_L5,WED_pr02,[94182 74200  3507],720575940630258003,SAD021_a,GABA,GABA,GABA,,,,
WED_pr02_R6,WED_pr02,WED_pr02_L6,WED_pr02,[94942 75705  3502],720575940633044634,CB3245,GABA,GABA,GABA,,,,
put_WED_pr02_R1,put_WED_pr02,WED_pr02_L7,WED_pr02,,720575940612078511,SAD021_c,GABA,GABA,GABA,,,,
WED_pr02_R13,WED_pr02,WED_pr02_L8,WED_pr02,[99502 75621  3300],720575940630749523,CB3491,GABA,GABA,GABA,,,,
WED_pr02_R10,WED_pr02,WED_pr02_L9,WED_pr02,[95800 75289  3436],720575940629938487,SAD021_c,GABA,GABA,GABA,,,,
WED_pr02_R12,WED_pr02,WED_pr02_L10,WED_pr02,[99139 75718  3411],720575940628267264,SAD021_a,GABA,GABA,GABA,,,,
IPS_pr02_L,IPS_pr02,IPS_pr02_R,IPS_pr02,[138240  90526   4848],720575940610116581,CB0033,GABA,GABA,GABA,,,,
IPS_pr02_R,IPS_pr02,IPS_pr02_L,IPS_pr02,[121485  80193   4090],720575940614018060,CB0033,GABA,GABA,GABA,,,,
put_AVLP_pr23_L,put_AVLP_pr23,AVLP_pr23_R,AVLP_pr23,,720575940644968302,CB0264,Ach,Ach,Ach,,,,
AVLP_pr23_R,AVLP_pr23,AVLP_pr23_L,AVLP_pr23,[104527  77449   4019],720575940631153194,CB0264,Ach,Ach,Ach,,,,
PVLP_pr03_L2,PVLP_pr03,PVLP_pr03-1_R1,PVLP_pr03-1,[161664  58557    978],720575940622409983,CB2853,GABA,-,GABA,,,,
PVLP_pr03_L3,PVLP_pr03,PVLP_pr03-1_R2,PVLP_pr03-1,[162221  59162   1011],720575940615205427,CB2261,GABA,Inconclusive,GABA,,,,
put_PVLP_pr03_L2,put_PVLP_pr03,PVLP_pr03-1_R3,PVLP_pr03-1,,720575940621730910,CB2853,GABA,-,GABA,,,,
PVLP_pr03_L6,PVLP_pr03,PVLP_pr03-1_R4,PVLP_pr03-1,[161110  60647   1113],720575940626583056,CB0352,GABA,GABA,GABA,,,,
PVLP_pr03_R4,PVLP_pr03,PVLP_pr03-1_L1,PVLP_pr03-1,[100933  54805   1698],720575940636533574,CB2261,GABA,Inconclusive,GABA,,,,
PVLP_pr03_R2,PVLP_pr03,PVLP_pr03-1_L2,PVLP_pr03-1,[101197  54102   1730],720575940630637330,CB2853,GABA,-,GABA,,,,
put_PVLP_pr03_R5,put_PVLP_pr03,PVLP_pr03-1_L3,PVLP_pr03-1,,720575940623808520,CB2853,GABA,-,GABA,,,,
,put_PVLP_pr03,PVLP_pr03-1_L4,PVLP_pr03-1,,720575940621301274,CB0352,GABA,GABA,GABA,,,,
put_PVLP_pr03_L1,put_PVLP_pr03,PVLP_pr03-2_R1,PVLP_pr03-2,,720575940625600284,CB2278,GABA,GABA,GABA,,,,
PVLP_pr03_L5,PVLP_pr03,PVLP_pr03-2_R2,PVLP_pr03-2,[160473  58607   1109],720575940654167201,CB2278,GABA,GABA,GABA,,,,
PVLP_pr03_L7,PVLP_pr03,PVLP_pr03-2_R3,PVLP_pr03-2,[161857  55830   1002],720575940610653462,CB2278,GABA,GABA,GABA,,,,
PVLP_pr03_R3,PVLP_pr03,PVLP_pr03-2_L1,PVLP_pr03-2,[102308  55905   1819],720575940622304243,CB2278,GABA,GABA,GABA,,,,
put_PVLP_pr03_R1,put_PVLP_pr03,PVLP_pr03-2_L2,PVLP_pr03-2,,720575940628538732,CB2278,GABA,GABA,GABA,,,,
,put_PVLP_pr03,PVLP_pr03-3_R1,PVLP_pr03-3,,720575940604285356,CB3513b,GABA,GABA,GABA,,,,
PVLP_pr03_L9,PVLP_pr03,PVLP_pr03-3_R2,PVLP_pr03-3,[161502  50821   1237],720575940625194558,CB3513a,GABA,GABA,GABA,,,,
,put_PVLP_pr03,PVLP_pr03-3_L1,PVLP_pr03-3,,720575940640926627,CB3513a,GABA,GABA,GABA,,,,
,put_PVLP_pr03,PVLP_pr03-3_L2,PVLP_pr03-3,,720575940611091012,CB3513b,GABA,GABA,GABA,,,,
,,SAD_pr01_R,SAD_pr01,[115010  74688   2996],720575940624571116,CB0104,GABA,GABA,GABA,,,,
,,SAD_pr01_L,SAD_pr01,[145888  75638   2951],720575940644488727,CB0104,GABA,GABA,GABA,,,,
,,AVLP_pr35_R,AVLP_pr35,[166405  80833   2409],720575940612409494,AVLP091,GABA,GABA,GABA,,,,
,,AVLP_pr35_L,AVLP_pr35,[90563 68400  2579],720575940626196313,AVLP091,GABA,GABA,GABA,,,,
,,vpoEN_R1,vpoEN,[171059  75262   2521],720575940619415679,vpoEN,Ach,Ach,Ach,,,,
,,vpoEN_R2,vpoEN,[159548  73132   4342],720575940632385943,vpoEN,Ach,Ach,Ach,,,,
,,vpoEN_L1,vpoEN,[91461 73612  3186],720575940635403230,vpoEN,Ach,Ach,Ach,,,,
,,vpoEN_L2,vpoEN,[91280 73006  3316],720575940634829168,vpoEN,Ach,Ach,Ach,,,,
vpoIN_L2,vpoIN,vpoIN-1_R1,vpoIN-1,[183445  37705   2966],720575940614752395,AVLP008,GABA,GABA,GABA,,,,
vpoIN_L3,vpoIN,vpoIN-1_R2,vpoIN-1,[181560  40397   2898],720575940618851425,AVLP008,GABA,GABA,GABA,,,,
vpoIN_L4,vpoIN,vpoIN-1_R3,vpoIN-1,[180556  40816   2954],720575940612403427,AVLP008,GABA,GABA,GABA,,,,
vpoIN_L5,vpoIN,vpoIN-1_R4,vpoIN-1,[182746  39975   2796],720575940628528377,AVLP008,GABA,GABA,GABA,,,,
vpoIN_L8,vpoIN,vpoIN-1_R5,vpoIN-1,[182606  40349   3227],720575940628542807,AVLP008,GABA,GABA,GABA,,,,
vpoIN_R1,vpoIN,vpoIN-1_L1,vpoIN-1,[80018 37464  4054],720575940623256202,AVLP008,GABA,GABA,GABA,,,,
vpoIN_R5,vpoIN,vpoIN-1_L2,vpoIN-1,[78982 34649  3949],720575940632392599,AVLP008,GABA,GABA,GABA,,,,
vpoIN_R6,vpoIN,vpoIN-1_L3,vpoIN-1,[79360 35499  3996],720575940629199146,AVLP008,GABA,GABA,GABA,,,,
,put_vpoIN,vpoIN-1_L4,vpoIN-1,,720575940627718394,AVLP008,GABA,GABA,GABA,,,,
,put_vpoIN,vpoIN-1_L5,vpoIN-1,,720575940633033567,AVLP008,GABA,GABA,GABA,,,,
vpoIN_L1,vpoIN,vpoIN-2_R1,vpoIN-2,[182277  40565   3302],720575940628256763,LHAV4c2,GABA,GABA,GABA,,,,
put_vpoIN_L1,put_vpoIN,vpoIN-2_R2,vpoIN-2,,720575940616727782,LHAV4c2,GABA,GABA,GABA,,,,
put_vpoIN_L2,put_vpoIN,vpoIN-2_R3,vpoIN-2,,720575940620076415,LHAV4c2,GABA,GABA,GABA,,,,
vpoIN_R3,vpoIN,vpoIN-2_L,vpoIN-2,[79931 38377  4202],720575940615200059,LHAV4c2,GABA,GABA,GABA,,,,
vpoIN_L6,vpoIN,vpoIN-3_R,vpoIN-3,[182882  41198   3100],720575940636705502,CB1385,GABA,GABA,GABA,,,,
vpoIN_R2,vpoIN,vpoIN-3_L,vpoIN-3,[80235 35365  3941],720575940615894877,CB1385,GABA,GABA,GABA,,,,
pMN1_L,pMN1,pMN1_R,pMN1,,720575940625295339,DNp13,Ach,Ach,Ach,,,,
pMN1_R,pMN1,pMN1_L,pMN1,,720575940619486891,DNp13,Ach,Ach,Ach,,,,
pMN2_L,pMN2,pMN2_R,pMN2,[152175  45854   4825],720575940613170498,DNp37,Ach,Ach,Ach,,,,
pMN2_R,pMN2,pMN2_L,pMN2,[109708  46964   5237],720575940627496829,DNp37,Ach,Ach,Ach,,,,
pC2la_L1,pC2la,pC2la_R1,pC2la,[170209  43514   4816],720575940636910825,CL313,Ach,Ach,Ach,,,,
pC2la_L2,pC2la,pC2la_R2,pC2la,[168237  45878   4897],720575940627670032,CL313,Ach,Ach,Ach,,,,
pC2la_L3,pC2la,pC2la_R3,pC2la,[166908  46116   4834],720575940623855397,CB1161,Ach,Ach,Ach,,,,
pC2la_L4,pC2la,pC2la_R4,pC2la,[169193  43404   4815],720575940610455781,CL313,Ach,Ach,Ach,,,,
pC2la_L5,pC2la,pC2la_R5,pC2la,[172532  43504   4783],720575940621431492,CL313,Ach,Ach,Ach,,,,
pC2la_L6,pC2la,pC2la_R6,pC2la,[165674  49289   4929],720575940634545294,SIP200f,Ach,-,Ach,,,,
pC2la_L7,pC2la,pC2la_R7,pC2la,[167137  47095   4838],720575940630344396,CL313,Ach,Ach,Ach,,,,
,,pC2la_R8,pC2la,,720575940610373326,SIP200f,Ach,Ach,Ach,,,,
pC2la_R1,pC2la,pC2la_L1,pC2la,[99793 45173  5412],720575940632522848,CL313,Ach,Ach,Ach,,,,
pC2la_R2,pC2la,pC2la_L2,pC2la,[102846  47210   5367],720575940619302640,CL313,Ach,Ach,Ach,,,,
pC2la_R3,pC2la,pC2la_L3,pC2la,[100222  45873   5402],720575940630057979,CL313,Ach,Ach,Ach,,,,
pC2la_R4,pC2la,pC2la_L4,pC2la,[104343  49526   5225],720575940619675712,CL313,Ach,Ach,Ach,,,,
,,pC2la_L5,pC2la,,720575940629133052,SIP200f,Ach,Ach,Ach,,,,
,,pC2la_L6,pC2la,,720575940617333976,SIP200f,Ach,Ach,Ach,,,,
pC2lb_R4,pC2lb,pC2la_L7,pC2la,[103539  48318   5272],720575940640992731,CL313,Ach,Ach,Ach,,,,
pC2lc_R1,pC2lc,pC2la_L8,pC2la,[103035  47930   5342],720575940620931348,CL313,Ach,Ach,Ach,,,,
,,pC2la_L9,pC2la,,720575940610359758,pC2la,Ach,-,Ach,,,,
pC2lb_L1,pC2lb,pC2lb_R1,pC2lb,[161505  49332   4737],720575940638095293,AVLP567,Ach,Ach,Ach,,,,
pC2lb_L2,pC2lb,pC2lb_R2,pC2lb,[165680  46738   4841],720575940618475101,AVLP567,Ach,Ach,Ach,,,,
pC2lb_L3,pC2lb,pC2lb_R3,pC2lb,[164304  49518   4756],720575940631179807,AVLP569,Ach,Ach,Ach,,,,
pC2lb_L4,pC2lb,pC2lb_R4,pC2lb,[162875  47694   4791],720575940626793831,AVLP569,Ach,Ach,Ach,,,,
pC2lb_R1,pC2lb,pC2lb_L1,pC2lb,[102663  45478   5284],720575940623725972,AVLP567,Ach,Ach,Ach,,,,
pC2lb_R2,pC2lb,pC2lb_L2,pC2lb,[100575  48400   5300],720575940633300148,AVLP567,Ach,Ach,Ach,,,,
pC2lb_R3,pC2lb,pC2lb_L3,pC2lb,[102886  47933   5231],720575940640176848,AVLP569,Ach,Ach,Ach,,,,
pC2lb_R5,pC2lb,pC2lb_L5,pC2lb,[103067  47222   5245],720575940611401709,AVLP569,Ach,Ach,Ach,,,,
pC2lc_R2,pC2lc,pC2lc_L1,pC2lc,[101913  47606   5241],720575940628719375,AVLP570,Ach,Ach,Ach,,,,
pC2lc_R3,pC2lc,pC2lc_L1,pC2lc,[102729  46646   5289],720575940629407020,AVLP570,Ach,Ach,Ach,,,,
,,pC2lc_R1,pcC2lc,,720575940624996359,AVLP570,Ach,Ach,Ach,,,,
,,pC2lc_R2,pcC2lc,,720575940629211847,AVLP570,Ach,Ach,Ach,,,,
pC2ld_R,pC2ld,pC2ld_L,pC2ld,[101514  44767   5300],720575940629017591,AVLP568,Ach,-,Ach,,,,
pC1d_L,pC1d,pC1d_R,pC1d,[145817  41367   5139],720575940620356545,pC1d,Ach,Ach,Ach,,,,
pC1d_R,pC1d,pC1d_L,pC1d,[125483  45655   5019],720575940646518382,pC1d,Ach,Ach,Ach,,,,
pC1e_L,pC1e,pC1e_R,pC1e,[142741  44980   4908],720575940618364480,pC1e,Ach,Ach,Ach,,,,
pC1e_R,pC1e,pC1e_L,pC1e,[123240  51333   5237],720575940634866586,pC1e,Ach,Ach,Ach,,,,
,,aPN3_R1,aPN3,,720575940628244064,CB1622,-,GLUT,GLUT,,,,
,,aPN3_R2,aPN3,,720575940603903264,CB1622,-,GLUT,GLUT,,,,
,,aPN3_R3,aPN3,,720575940616748756,SAD077,Inconclusive,-,GLUT,,,,
,,aPN3_R4,aPN3,,720575940625466387,CB1394_d,Inconclusive,-,GLUT,,,,
,,aPN3_R5,aPN3,,720575940626990086,SAD077,Inconclusive,-,GLUT,,,,
,,aPN3_L1,aPN3,,720575940615308729,CB1622,-,GLUT,GLUT,,,,
,,aPN3_L2,aPN3,,720575940623020263,CB1622,-,GLUT,GLUT,,,,
,,aPN3_L3,aPN3,,720575940615503249,CB1394_d,Inconclusive,-,GLUT,,,,
,,aPN3_L4,aPN3,,720575940618149336,SAD077,Inconclusive,-,GLUT,,,,
,,aPN3_L5,aPN3,,720575940621159181,SAD077,Inconclusive,-,GLUT,,,,
,,aPN2_R1,aPN2,,720575940618772719,CB1125,Ach,Ach,Ach,,,,
,,aPN2_R2,aPN2,,720575940620833974,CB1125,Ach,Ach,Ach,,,,
,,aPN2_R3,aPN2,,720575940625597317,CB1125,Ach,Ach,Ach,,,,
,,aPN2_R4,aPN2,,720575940627027087,CB1125,Ach,Ach,Ach,,,,
,,aPN2_R5,aPN2,,720575940635960292,CB1125,Ach,,,,,,
,,aPN2_R6,aPN2,,720575940625952002,SAD003,Ach,,,,,,
,,aPN2_R7,aPN2,,720575940613641794,SAD003,Ach,,,,,,
,,aPN2_L1,aPN2,,720575940603930046,CB1125,Ach,Ach,Ach,,,,
,,aPN2_L2,aPN2,,720575940630214564,CB1125,Ach,Ach,Ach,,,,
,,aPN2_L3,aPN2,,720575940629394232,SAD003,Ach,-,Ach,,,,
,,aPN2_L4,aPN2,,720575940606919602,SAD003,Ach,-,Ach,,,,
,,aPN2_L5,aPN2,,720575940650920569,CB1125,Ach,Ach,Ach,,,,
,,aPN2_L6,aPN2,,720575940614190242,CB1125,Ach,Ach,Ach,,,,
,,aPN2_L7,aPN2,,720575940629552170,CB1125,Ach,Ach,Ach,,,,
,,JO-A_R1,JO-A,,720575940624428728,,,,Ach,,,,
,,JO-A_R2,JO-A,,720575940620537435,,,,Ach,,,,
,,JO-A_R3,JO-A,,720575940608975371,,,,Ach,,,,
,,JO-A_R4,JO-A,,720575940642063245,,,,Ach,,,,
,,JO-A_R5,JO-A,,720575940627085199,,,,Ach,,,,
,,JO-A_R6,JO-A,,720575940614014614,,,,Ach,,,,
,,JO-A_R7,JO-A,,720575940634228124,,,,Ach,,,,
,,JO-A_R8,JO-A,,720575940643903904,,,,Ach,,,,
,,JO-A_R9,JO-A,,720575940622295585,,,,Ach,,,,
,,JO-A_R10,JO-A,,720575940619465131,,,,Ach,,,,
,,JO-A_R11,JO-A,,720575940629237036,,,,Ach,,,,
,,JO-A_R12,JO-A,,720575940615676334,,,,Ach,,,,
,,JO-A_R13,JO-A,,720575940621791664,,,,Ach,,,,
,,JO-A_R14,JO-A,,720575940607208114,,,,Ach,,,,
,,JO-A_R15,JO-A,,720575940613304883,,,,Ach,,,,
,,JO-A_R16,JO-A,,720575940615241010,,,,Ach,,,,
,,JO-A_R17,JO-A,,720575940624167093,,,,Ach,,,,
,,JO-A_R18,JO-A,,720575940617668537,,,,Ach,,,,
,,JO-A_R19,JO-A,,720575940614866242,,,,Ach,,,,
,,JO-A_R20,JO-A,,720575940632812867,,,,Ach,,,,
,,JO-A_R21,JO-A,,720575940610236740,,,,Ach,,,,
,,JO-A_R22,JO-A,,720575940609691075,,,,Ach,,,,
,,JO-A_R23,JO-A,,720575940623587780,,,,Ach,,,,
,,JO-A_R24,JO-A,,720575940631463495,,,,Ach,,,,
,,JO-A_R25,JO-A,,720575940626162378,,,,Ach,,,,
,,JO-A_R26,JO-A,,720575940639375182,,,,Ach,,,,
,,JO-A_R27,JO-A,,720575940640713680,,,,Ach,,,,
,,JO-A_R28,JO-A,,720575940619878485,,,,Ach,,,,
,,JO-A_R29,JO-A,,720575940630534615,,,,Ach,,,,
,,JO-A_R30,JO-A,,720575940622706653,,,,Ach,,,,
,,JO-A_R31,JO-A,,720575940637389534,,,,Ach,,,,
,,JO-A_R32,JO-A,,720575940614332899,,,,Ach,,,,
,,JO-A_R33,JO-A,,720575940628054760,,,,Ach,,,,
,,JO-A_R34,JO-A,,720575940632022888,,,,Ach,,,,
,,JO-A_R35,JO-A,,720575940614280554,,,,Ach,,,,
,,JO-A_R36,JO-A,,720575940624770540,,,,Ach,,,,
,,JO-A_R37,JO-A,,720575940621870576,,,,Ach,,,,
,,JO-A_R38,JO-A,,720575940630721910,,,,Ach,,,,
,,JO-A_R39,JO-A,,720575940618851963,,,,Ach,,,,
,,JO-A_R40,JO-A,,720575940627106173,,,,Ach,,,,
,,JO-A_R41,JO-A,,720575940639742627,,,,Ach,,,,
,,JO-A_R42,JO-A,,720575940615041064,,,,Ach,,,,
,,JO-A_R43,JO-A,,720575940615750318,,,,Ach,,,,
,,JO-A_R44,JO-A,,720575940630211127,,,,Ach,,,,
,,JO-A_R45,JO-A,,720575940608487772,,,,Ach,,,,
,,JO-A_R46,JO-A,,720575940624832231,,,,Ach,,,,
,,JO-A_L1,JO-A,,720575940627046010,,,,Ach,,,,
,,JO-A_L2,JO-A,,720575940621340429,,,,Ach,,,,
,,JO-A_L3,JO-A,,720575940617534110,,,,Ach,,,,
,,JO-A_L4,JO-A,,720575940620649641,,,,Ach,,,,
,,JO-A_L5,JO-A,,720575940632669741,,,,Ach,,,,
,,JO-A_L6,JO-A,,720575940638256949,,,,Ach,,,,
,,JO-A_L7,JO-A,,720575940630017603,,,,Ach,,,,
,,JO-A_L8,JO-A,,720575940630018115,,,,Ach,,,,
,,JO-A_L9,JO-A,,720575940622591049,,,,Ach,,,,
,,JO-A_L10,JO-A,,720575940606612937,,,,Ach,,,,
,,JO-A_L11,JO-A,,720575940607367125,,,,Ach,,,,
,,JO-A_L12,JO-A,,720575940620745825,,,,Ach,,,,
,,JO-A_L13,JO-A,,720575940629044071,,,,Ach,,,,
,,JO-A_L14,JO-A,,720575940627538947,,,,Ach,,,,
,,JO-A_L15,JO-A,,720575940628356358,,,,Ach,,,,
,,JO-A_L16,JO-A,,720575940626949513,,,,Ach,,,,
,,JO-A_L17,JO-A,,720575940627142666,,,,Ach,,,,
,,JO-A_L18,JO-A,,720575940608457483,,,,Ach,,,,
,,JO-A_L19,JO-A,,720575940642163341,,,,Ach,,,,
,,JO-A_L20,JO-A,,720575940626242191,,,,Ach,,,,
,,JO-A_L21,JO-A,,720575940627442197,,,,Ach,,,,
,,JO-A_L22,JO-A,,720575940633057943,,,,Ach,,,,
,,JO-A_L23,JO-A,,720575940621464344,,,,Ach,,,,
,,JO-A_L24,JO-A,,720575940625227672,,,,Ach,,,,
,,JO-A_L25,JO-A,,720575940624670759,,,,Ach,,,,
,,JO-A_L26,JO-A,,720575940623189799,,,,Ach,,,,
,,JO-A_L27,JO-A,,720575940627195691,,,,Ach,,,,
,,JO-A_L28,JO-A,,720575940619694512,,,,Ach,,,,
,,JO-A_L29,JO-A,,720575940618056753,,,,Ach,,,,
,,JO-A_L30,JO-A,,720575940607059122,,,,Ach,,,,
,,JO-A_L31,JO-A,,720575940637418549,,,,Ach,,,,
,,JO-A_L32,JO-A,,720575940621110454,,,,Ach,,,,
,,JO-A_L33,JO-A,,720575940618770625,,,,Ach,,,,
,,JO-A_L34,JO-A,,720575940619508033,,,,Ach,,,,
,,JO-A_L35,JO-A,,720575940608554052,,,,Ach,,,,
,,JO-A_L36,JO-A,,720575940614544582,,,,Ach,,,,
,,JO-A_L37,JO-A,,720575940620322753,,,,Ach,,,,
,,JO-A_L38,JO-A,,720575940626164938,,,,Ach,,,,
,,JO-A_L39,JO-A,,720575940625917386,,,,Ach,,,,
,,JO-A_L40,JO-A,,720575940623840589,,,,Ach,,,,
,,JO-A_L41,JO-A,,720575940631156431,,,,Ach,,,,
,,JO-A_L42,JO-A,,720575940628769239,,,,Ach,,,,
,,JO-A_L43,JO-A,,720575940613682911,,,,Ach,,,,
,,JO-A_L44,JO-A,,720575940634414959,,,,Ach,,,,
,,JO-A_L45,JO-A,,720575940611177586,,,,Ach,,,,
,,JO-A_L46,JO-A,,720575940614927989,,,,Ach,,,,
,,JO-A_L47,JO-A,,720575940626522620,,,,Ach,,,,
,,JO-A_L48,JO-A,,720575940629450366,,,,Ach,,,,
,,JO-B_R1,JO-B,,720575940640820788,94,,,Ach,,,,
,,JO-B_R2,JO-B,,720575940623490794,,,,Ach,,,,
,,JO-B_R3,JO-B,,720575940623357675,,,,Ach,,,,
,,JO-B_R4,JO-B,,720575940638811507,,,,Ach,,,,
,,JO-B_R5,JO-B,,720575940616336245,,,,Ach,,,,
,,JO-B_R6,JO-B,,720575940616786315,,,,Ach,,,,
,,JO-B_R7,JO-B,,720575940608876471,,,,Ach,,,,
,,JO-B_R8,JO-B,,720575940625910714,,,,Ach,,,,
,,JO-B_R9,JO-B,,720575940626741265,,,,Ach,,,,
,,JO-B_R10,JO-B,,720575940631750687,,,,Ach,,,,
,,JO-B_R11,JO-B,,720575940644635172,,,,Ach,,,,
,,JO-B_R12,JO-B,,720575940625866789,,,,Ach,,,,
,,JO-B_R13,JO-B,,720575940613696552,,,,Ach,,,,
,,JO-B_R14,JO-B,,720575940631469098,,,,Ach,,,,
,,JO-B_R15,JO-B,,720575940632288815,,,,Ach,,,,
,,JO-B_R16,JO-B,,720575940625023024,,,,Ach,,,,
,,JO-B_R17,JO-B,,720575940618847281,,,,Ach,,,,
,,JO-B_R18,JO-B,,720575940640817204,,,,Ach,,,,
,,JO-B_R19,JO-B,,720575940618953270,,,,Ach,,,,
,,JO-B_R20,JO-B,,720575940640836660,,,,Ach,,,,
,,JO-B_R21,JO-B,,720575940640841268,,,,Ach,,,,
,,JO-B_R22,JO-B,,720575940640843316,,,,Ach,,,,
,,JO-B_R23,JO-B,,720575940624111177,,,,Ach,,,,
,,JO-B_R24,JO-B,,720575940616793174,,,,Ach,,,,
,,JO-B_R25,JO-B,,720575940628315232,,,,Ach,,,,
,,JO-B_R26,JO-B,,720575940622857827,,,,Ach,,,,
,,JO-B_R27,JO-B,,720575940626258532,,,,Ach,,,,
,,JO-B_R28,JO-B,,720575940612585577,,,,Ach,,,,
,,JO-B_R29,JO-B,,720575940636276336,,,,Ach,,,,
,,JO-B_R30,JO-B,,720575940635278455,,,,Ach,,,,
,,JO-B_R31,JO-B,,720575940610753656,,,,Ach,,,,
,,JO-B_R32,JO-B,,720575940642108557,,,,Ach,,,,
,,JO-B_R33,JO-B,,720575940622946963,,,,Ach,,,,
,,JO-B_R34,JO-B,,720575940617066653,,,,Ach,,,,
,,JO-B_R35,JO-B,,720575940617945246,,,,Ach,,,,
,,JO-B_R36,JO-B,,720575940623401128,,,,Ach,,,,
,,JO-B_R37,JO-B,,720575940608875703,,,,Ach,,,,
,,JO-B_R38,JO-B,,720575940608893623,,,,Ach,,,,
,,JO-B_R39,JO-B,,720575940616612025,,,,Ach,,,,
,,JO-B_R40,JO-B,,720575940624065724,,,,Ach,,,,
,,JO-B_R41,JO-B,,720575940607944384,,,,Ach,,,,
,,JO-B_R42,JO-B,,720575940607947456,,,,Ach,,,,
,,JO-B_R43,JO-B,,720575940620587713,,,,Ach,,,,
,,JO-B_R44,JO-B,,720575940630960325,,,,Ach,,,,
,,JO-B_R45,JO-B,,720575940606850761,,,,Ach,,,,
