Source,Target,total_synapses,n_postsyn_neurons,Weight
WV-WV-2,B1-5,59,5,11.8
B1-u,SAD_pr02,58,3,19.333333333333332
aPN2,B1-5,57,4,14.25
B1-2,B1-u,56,4,14.0
WV-WV-3,WV-WV-1,56,3,18.666666666666668
B1-u,AVLP/PVLP_pr01-2,56,3,18.666666666666668
AVLP_pr23,WV-WV-3,56,2,28.0
AVLP_pr01-1,AVLP_pr23,56,2,28.0
A2,WED_pr02,56,5,11.2
vpoIN-3,AVLP_pr31,55,5,11.0
JO-A,WV-WV-4,55,1,55.0
JO-A,B2,54,3,18.0
vpoIN-1,AVLP_pr36/asp10a-1,54,4,13.5
B1-1,WV-WV-2,52,1,52.0
AVLP_pr22,PVLP_pr03-3,52,2,26.0
AVLP_pr02,pMN2,52,2,26.0
WED_pr02,WV-WV-3,47,1,47.0
IPS_pr02,IPS_pr01-1,47,3,15.666666666666666
B1-5,WV-WV-1,47,1,47.0
AVLP_pr04,AVLP_pr11,47,3,15.666666666666666
B1-2,SAD_pr02,45,3,15.0
A2,WED-VLP-2,44,4,11.0
IPS_pr02,IPS_pr01-2,44,4,11.0
B1-4,B1-7,44,4,11.0
SAD_pr02,WV-WV-2,43,3,14.333333333333334
WV-WV-3,AVLP_pr23,43,2,21.5
B1-1,B1-u,42,3,14.0
vpoIN-3,pC2lb,42,4,10.5
vpoIN-2,pC2lb,42,4,10.5
vpoIN-1,pC1d,41,2,20.5
GNG_pr01-1,AVLP_pr23,40,2,20.0
WED-VLP-1,vpoEN,37,3,12.333333333333334
B1-5,WV-WV-3,37,3,12.333333333333334
AVLP_pr36/asp10a-1,pMN2,36,2,18.0
B1-1,WV-WV-3,36,2,18.0
pMN2,pC1e,36,2,18.0
pC2la,pC1e,36,2,18.0
AVLP_pr12,AVLP_pr04,36,2,18.0
AVLP_pr23,AVLP_pr02,35,3,11.666666666666666
B1-3,GF,34,2,17.0
WV-WV-1,WV-WV-4,33,2,16.5
SAD_pr02,B1-7,33,3,11.0
SAD_pr02,B1-u,33,2,16.5
B1-7,B1-u,32,2,16.0
pC2la,PVLP_pr03-2,32,2,16.0
A1,AVLP/PVLP_pr01-2,31,3,10.333333333333334
pC2lb,pC1d,31,2,15.5
AVLP_pr23,WV-WV-2,31,1,31.0
pC2lc,pC1d,30,2,15.0
GNG_pr01-1,AVLP_pr04,30,2,15.0
WV-WV-1,AVLP_pr01-2,30,1,30.0
AVLP_pr01-2,vpoIN-3,29,2,14.5
B2,WV-WV-2,27,1,27.0
B1-3,A1,27,2,13.5
pC1d,pC1e,27,2,13.5
B1-2,B1-4,27,1,27.0
vpoIN-3,pMN2,26,2,13.0
B1-6,WV-WV-2,26,1,26.0
AVLP_pr11,AVLP_pr04,26,2,13.0
WV-WV-4,WV-WV-3,26,2,13.0
B1-7,IPS_pr01-1,25,2,12.5
WV-WV-3,B1-6,24,2,12.0
B1-6,GF,24,2,12.0
WV-WV-1,AVLP/PVLP_pr01-2,24,2,12.0
pC1e,pC1d,23,2,11.5
pC1e,pMN2,23,2,11.5
AVLP_pr01-1,WV-WV-2,23,2,11.5
